run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260507_140016_001,low,baseline,False,transparency_experiment,completed,20260507_210758,2026-05-07T21:09:30+0200,5,15,0,0,0,15,25232,10470,35702,91.9981,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_001/metadata.json,2,0,1,0,,,
low_baseline_20260507_140016_002,low,baseline,False,transparency_experiment,completed,20260507_210933,2026-05-07T21:11:08+0200,5,15,0,0,0,15,25225,10464,35689,94.7357,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_002/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_003,low,baseline,False,transparency_experiment,completed,20260507_211111,2026-05-07T21:12:27+0200,5,15,0,0,0,15,25106,9409,34515,76.3933,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_003/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_004,low,baseline,False,transparency_experiment,completed,20260507_211230,2026-05-07T21:14:02+0200,5,15,0,0,0,15,25099,11066,36165,91.5416,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_004/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_005,low,baseline,False,transparency_experiment,completed,20260507_211405,2026-05-07T21:15:52+0200,5,15,0,0,0,15,25361,11797,37158,107.2742,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_005/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_006,low,baseline,False,transparency_experiment,completed,20260507_211555,2026-05-07T21:16:34+0200,2,6,0,0,0,6,8999,4329,13328,38.7598,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_006/metadata.json,0,3,0,0,,,
low_baseline_20260507_140016_007,low,baseline,False,transparency_experiment,completed,20260507_211637,2026-05-07T21:18:01+0200,5,15,0,0,0,15,25057,9579,34636,84.2244,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_007/metadata.json,1,2,0,0,,,
low_baseline_20260507_140016_008,low,baseline,False,transparency_experiment,completed,20260507_211804,2026-05-07T21:19:41+0200,5,15,0,0,0,15,25127,10912,36039,96.5974,Candidate C,max_round_majority_vote,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_008/metadata.json,0,1,2,0,,,
low_baseline_20260507_140016_009,low,baseline,False,transparency_experiment,completed,20260507_211944,2026-05-07T21:21:01+0200,5,15,0,0,0,15,25141,8993,34134,77.3206,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_009/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_010,low,baseline,False,transparency_experiment,completed,20260507_212104,2026-05-07T21:22:32+0200,5,15,0,0,0,15,25224,10390,35614,87.917,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_010/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_011,low,baseline,False,transparency_experiment,completed,20260507_212235,2026-05-07T21:23:56+0200,5,15,0,0,0,15,25024,9788,34812,80.9331,Candidate A,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_011/metadata.json,3,0,0,0,,,
low_baseline_20260507_140016_012,low,baseline,False,transparency_experiment,completed,20260507_212359,2026-05-07T21:25:26+0200,5,15,0,0,0,15,25069,10514,35583,86.6382,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_012/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_013,low,baseline,False,transparency_experiment,completed,20260507_212529,2026-05-07T21:26:51+0200,5,15,0,0,0,15,25361,10624,35985,82.1643,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_013/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_014,low,baseline,False,transparency_experiment,completed,20260507_212654,2026-05-07T21:28:10+0200,5,15,0,0,0,15,25048,9446,34494,75.6072,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_014/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_015,low,baseline,False,transparency_experiment,completed,20260507_212813,2026-05-07T21:29:25+0200,4,12,0,0,0,12,19410,8694,28104,71.4076,Candidate D,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_015/metadata.json,0,0,0,3,,,
low_baseline_20260507_140016_016,low,baseline,False,transparency_experiment,completed,20260507_212928,2026-05-07T21:30:49+0200,5,15,0,0,0,15,25283,9570,34853,81.6166,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_016/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_017,low,baseline,False,transparency_experiment,completed,20260507_213052,2026-05-07T21:31:26+0200,2,6,0,0,0,6,9046,4114,13160,33.6378,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_017/metadata.json,0,3,0,0,,,
low_baseline_20260507_140016_018,low,baseline,False,transparency_experiment,completed,20260507_213129,2026-05-07T21:32:35+0200,5,15,0,0,0,15,25325,8626,33951,65.7584,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_018/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_019,low,baseline,False,transparency_experiment,completed,20260507_213238,2026-05-07T21:34:02+0200,5,15,0,0,0,15,25160,10327,35487,84.3779,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_019/metadata.json,1,2,0,0,,,
low_baseline_20260507_140016_020,low,baseline,False,transparency_experiment,completed,20260507_213405,2026-05-07T21:35:40+0200,5,15,0,0,0,15,25299,11029,36328,95.4184,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_020/metadata.json,1,2,0,0,,,
low_baseline_20260507_140016_021,low,baseline,False,transparency_experiment,completed,20260507_213543,2026-05-07T21:37:15+0200,5,15,0,0,0,15,25188,11399,36587,91.7948,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_021/metadata.json,0,1,1,1,,,
low_baseline_20260507_140016_022,low,baseline,False,transparency_experiment,completed,20260507_213718,2026-05-07T21:38:36+0200,5,15,0,0,0,15,25162,9324,34486,77.8961,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_022/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_023,low,baseline,False,transparency_experiment,completed,20260507_213840,2026-05-07T21:40:16+0200,5,15,0,0,0,15,25173,11182,36355,96.4119,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_023/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_024,low,baseline,False,transparency_experiment,completed,20260507_214019,2026-05-07T21:41:49+0200,5,15,0,0,0,15,25098,10247,35345,90.2837,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_024/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_025,low,baseline,False,transparency_experiment,completed,20260507_214152,2026-05-07T21:43:21+0200,5,15,0,0,0,15,25193,9709,34902,88.6282,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_025/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_026,low,baseline,False,transparency_experiment,completed,20260507_214323,2026-05-07T21:44:59+0200,5,15,0,0,0,15,25223,11393,36616,96.0726,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_026/metadata.json,1,2,0,0,,,
low_baseline_20260507_140016_027,low,baseline,False,transparency_experiment,completed,20260507_214503,2026-05-07T21:46:23+0200,5,15,0,0,0,15,25041,9575,34616,79.9937,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_027/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_028,low,baseline,False,transparency_experiment,completed,20260507_214626,2026-05-07T21:47:10+0200,3,9,0,0,0,9,14074,5704,19778,43.8002,Candidate A,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_028/metadata.json,3,0,0,0,,,
low_baseline_20260507_140016_029,low,baseline,False,transparency_experiment,completed,20260507_214713,2026-05-07T21:48:48+0200,5,15,0,0,0,15,25091,10219,35310,95.1633,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_029/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_030,low,baseline,False,transparency_experiment,completed,20260507_214851,2026-05-07T21:50:21+0200,5,15,0,0,0,15,25186,10165,35351,89.6384,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_030/metadata.json,1,1,0,1,,,
low_treatment_20260507_140016_001,low,treatment,True,transparency_experiment,completed,20260507_140020,2026-05-07T14:09:09+0200,5,15,0,0,45,15,111873,49901,161774,529.5424,Candidate C,max_round_majority_vote,Candidate C,1,0.79255,0.733457,0.90271,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_001/metadata.json,1,0,2,0,0.90271,0.733457,0.741484
low_treatment_20260507_140016_002,low,treatment,True,transparency_experiment,completed,20260507_140912,2026-05-07T14:12:58+0200,5,15,0,0,45,15,117003,49869,166872,225.6694,,max_round_no_majority,Candidate C,0,0.862149,0.817857,0.921763,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_002/metadata.json,1,1,1,0,0.921763,0.846827,0.817857
low_treatment_20260507_140016_003,low,treatment,True,transparency_experiment,completed,20260507_141301,2026-05-07T14:16:26+0200,5,15,0,0,45,15,110102,44077,154179,205.265,Candidate A,max_round_majority_vote,Candidate C,0,0.890681,0.882264,0.904156,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_003/metadata.json,2,1,0,0,0.885623,0.904156,0.882264
low_treatment_20260507_140016_004,low,treatment,True,transparency_experiment,completed,20260507_141629,2026-05-07T14:20:05+0200,5,15,0,0,45,15,114055,47998,162053,215.3181,,max_round_no_majority,Candidate C,0,0.801717,0.748197,0.890235,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_004/metadata.json,1,1,1,0,0.890235,0.76672,0.748197
low_treatment_20260507_140016_005,low,treatment,True,transparency_experiment,completed,20260507_142008,2026-05-07T14:23:28+0200,5,15,0,0,45,15,117561,49395,166956,199.684,,max_round_no_majority,Candidate C,0,0.803668,0.767118,0.8568,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_005/metadata.json,1,1,1,0,0.767118,0.787086,0.8568
low_treatment_20260507_140016_006,low,treatment,True,transparency_experiment,completed,20260507_142331,2026-05-07T14:26:56+0200,5,15,0,0,45,15,113678,46932,160610,205.4353,,max_round_no_majority,Candidate C,0,0.806254,0.766557,0.857997,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_006/metadata.json,1,1,1,0,0.766557,0.794208,0.857997
low_treatment_20260507_140016_007,low,treatment,True,transparency_experiment,completed,20260507_142659,2026-05-07T14:30:19+0200,5,15,0,0,45,15,114678,47166,161844,199.8209,Candidate C,max_round_majority_vote,Candidate C,1,0.886628,0.871973,0.904258,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_007/metadata.json,0,1,2,0,0.883654,0.904258,0.871973
low_treatment_20260507_140016_008,low,treatment,True,transparency_experiment,completed,20260507_143023,2026-05-07T14:35:16+0200,5,15,0,0,45,15,116040,51058,167098,293.8235,Candidate C,max_round_majority_vote,Candidate C,1,0.747657,0.690256,0.799939,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_008/metadata.json,0,1,2,0,0.799939,0.690256,0.752776
low_treatment_20260507_140016_009,low,treatment,True,transparency_experiment,completed,20260507_143519,2026-05-07T14:38:57+0200,5,15,0,0,45,15,108760,44315,153075,217.0738,Candidate B,max_round_majority_vote,Candidate C,0,0.823366,0.768934,0.931215,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_009/metadata.json,0,2,1,0,0.76995,0.931215,0.768934
low_treatment_20260507_140016_010,low,treatment,True,transparency_experiment,completed,20260507_143900,2026-05-07T14:43:12+0200,5,15,0,0,45,15,113559,47033,160592,252.37,Candidate C,max_round_majority_vote,Candidate C,1,0.810647,0.751904,0.922994,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_010/metadata.json,0,1,2,0,0.751904,0.922994,0.757042
low_treatment_20260507_140016_011,low,treatment,True,transparency_experiment,completed,20260507_144315,2026-05-07T14:47:25+0200,5,15,0,0,45,15,119576,52197,171773,249.8968,Candidate A,max_round_majority_vote,Candidate C,0,0.791216,0.766074,0.810627,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_011/metadata.json,2,1,0,0,0.796947,0.766074,0.810627
low_treatment_20260507_140016_012,low,treatment,True,transparency_experiment,completed,20260507_144728,2026-05-07T14:51:21+0200,5,15,0,0,45,15,116195,50033,166228,233.4347,Candidate A,max_round_majority_vote,Candidate C,0,0.824589,0.785259,0.89131,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_012/metadata.json,2,0,0,1,0.797198,0.89131,0.785259
low_treatment_20260507_140016_013,low,treatment,True,transparency_experiment,completed,20260507_145124,2026-05-07T14:55:08+0200,5,15,0,0,45,15,117449,50479,167928,223.7344,Candidate A,max_round_majority_vote,Candidate C,0,0.890913,0.879288,0.897218,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_013/metadata.json,2,1,0,0,0.879288,0.896233,0.897218
low_treatment_20260507_140016_014,low,treatment,True,transparency_experiment,completed,20260507_145511,2026-05-07T14:59:05+0200,5,15,0,0,45,15,115039,48298,163337,234.1688,,max_round_no_majority,Candidate C,0,0.756202,0.721302,0.77641,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_014/metadata.json,0,1,1,1,0.770894,0.721302,0.77641
low_treatment_20260507_140016_015,low,treatment,True,transparency_experiment,completed,20260507_145908,2026-05-07T15:02:52+0200,5,15,0,0,45,15,113416,47474,160890,223.3717,Candidate A,max_round_majority_vote,Candidate C,0,0.833767,0.789862,0.898209,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_015/metadata.json,2,1,0,0,0.813229,0.898209,0.789862
low_treatment_20260507_140016_016,low,treatment,True,transparency_experiment,completed,20260507_150255,2026-05-07T15:06:27+0200,5,15,0,0,45,15,113289,48021,161310,212.1337,Candidate A,max_round_majority_vote,Candidate C,0,0.859775,0.82046,0.932844,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_016/metadata.json,2,1,0,0,0.932844,0.826021,0.82046
low_treatment_20260507_140016_017,low,treatment,True,transparency_experiment,completed,20260507_150630,2026-05-07T15:10:39+0200,5,15,0,0,45,15,112530,49346,161876,249.1383,Candidate A,max_round_majority_vote,Candidate C,0,0.836553,0.790927,0.910922,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_017/metadata.json,2,0,0,1,0.807809,0.790927,0.910922
low_treatment_20260507_140016_018,low,treatment,True,transparency_experiment,completed,20260507_151042,2026-05-07T15:14:22+0200,5,15,0,0,45,15,115579,48600,164179,220.0996,,max_round_no_majority,Candidate C,0,0.811263,0.763993,0.898732,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_018/metadata.json,1,1,0,1,0.771064,0.763993,0.898732
low_treatment_20260507_140016_019,low,treatment,True,transparency_experiment,completed,20260507_151425,2026-05-07T15:17:44+0200,5,15,0,0,45,15,112306,47970,160276,198.3062,Candidate A,max_round_majority_vote,Candidate C,0,0.82464,0.803938,0.849895,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_019/metadata.json,2,1,0,0,0.803938,0.820086,0.849895
low_treatment_20260507_140016_020,low,treatment,True,transparency_experiment,completed,20260507_151747,2026-05-07T15:20:53+0200,5,15,0,0,45,15,112747,47909,160656,186.2224,,max_round_no_majority,Candidate C,0,0.79318,0.720164,0.907336,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_020/metadata.json,1,1,1,0,0.752039,0.907336,0.720164
low_treatment_20260507_140016_021,low,treatment,True,transparency_experiment,completed,20260507_152056,2026-05-07T15:24:11+0200,5,15,0,0,45,15,110648,46040,156688,194.4979,Candidate B,max_round_majority_vote,Candidate C,0,0.886699,0.875417,0.898149,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_021/metadata.json,1,2,0,0,0.898149,0.875417,0.886531
low_treatment_20260507_140016_022,low,treatment,True,transparency_experiment,completed,20260507_152414,2026-05-07T15:25:49+0200,2,6,0,0,18,6,43616,21610,65226,95.0685,Candidate C,consensus,Candidate C,1,0.821873,0.745192,0.916364,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_022/metadata.json,0,0,3,0,0.916364,0.804063,0.745192
low_treatment_20260507_140016_023,low,treatment,True,transparency_experiment,completed,20260507_152552,2026-05-07T15:29:15+0200,5,15,0,0,45,15,117756,49336,167092,202.3098,,max_round_no_majority,Candidate C,0,0.83894,0.798049,0.885846,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_023/metadata.json,1,1,0,1,0.832926,0.798049,0.885846
low_treatment_20260507_140016_024,low,treatment,True,transparency_experiment,completed,20260507_152918,2026-05-07T15:32:23+0200,5,15,0,0,45,15,114200,46520,160720,185.4908,,max_round_no_majority,Candidate C,0,0.912983,0.903881,0.924601,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_024/metadata.json,1,1,0,1,0.910466,0.903881,0.924601
low_treatment_20260507_140016_025,low,treatment,True,transparency_experiment,completed,20260507_153226,2026-05-07T15:35:41+0200,5,15,0,0,45,15,112207,48160,160367,194.5681,Candidate C,max_round_majority_vote,Candidate C,1,0.797405,0.757033,0.85622,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_025/metadata.json,0,1,2,0,0.757033,0.85622,0.778963
low_treatment_20260507_140016_026,low,treatment,True,transparency_experiment,completed,20260507_153544,2026-05-07T15:39:03+0200,5,15,0,0,45,15,111544,44644,156188,199.2798,,max_round_no_majority,Candidate C,0,0.904895,0.885161,0.916185,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_026/metadata.json,1,1,1,0,0.885161,0.91334,0.916185
low_treatment_20260507_140016_027,low,treatment,True,transparency_experiment,completed,20260507_153907,2026-05-07T15:42:22+0200,5,15,0,0,45,15,112585,47384,159969,194.8131,,max_round_no_majority,Candidate C,0,0.74635,0.701982,0.820029,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_027/metadata.json,1,1,0,1,0.701982,0.71704,0.820029
low_treatment_20260507_140016_028,low,treatment,True,transparency_experiment,completed,20260507_154225,2026-05-07T15:46:00+0200,5,15,0,0,45,15,115959,50193,166152,215.2293,,max_round_no_majority,Candidate C,0,0.818597,0.762725,0.90813,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_028/metadata.json,1,1,0,1,0.784936,0.90813,0.762725
low_treatment_20260507_140016_029,low,treatment,True,transparency_experiment,completed,20260507_154603,2026-05-07T15:49:18+0200,5,15,0,0,45,15,119287,52918,172205,195.0574,,max_round_no_majority,Candidate C,0,0.847124,0.776642,0.900402,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260507_140016_029/metadata.json,1,1,1,0,0.900402,0.864328,0.776642
